,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,param_PCA_features
10,0,0.36211795806884767,0.004532876221952222,2.466685152053833,0.009454630451706168,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.137546468401487,0.1100371747211896,0.12788104089219332,0.12118959107806691,0.11821561338289963,0.1229739776951673,0.009269559777254245,5,0.3513011152416357,0.3533457249070632,0.35446096654275094,0.35520446096654273,0.3533457249070632,0.35353159851301114,0.0013195716988326199,0.292259083728278,0.2730627306273063,0.29553264604810997,0.2703150912106136,0.2672268907563025,0.27967928847412205,0.011799232450105565,7,0.7331264546159814,0.7314351673720662,0.7248194602812619,0.7296678121420389,0.7362509682416731,0.7310599725306044,0.0038010435286184854,2
11,1,0.4016244411468506,0.06137813481482714,0.5041759490966797,0.04260586129933133,distance,1,"{'weights': 'distance', 'n_neighbors': 1}",0.23345724907063198,0.22825278810408922,0.24758364312267658,0.2245353159851301,0.2319702602230483,0.23315985130111522,0.007848709722169014,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.22364672364672364,0.23222390317700453,0.23853868194842406,0.22108345534407028,0.22462203023758098,0.22802295887076068,0.0064358810494181354,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
12,2,0.37164859771728515,0.011703244230230067,0.5863446235656739,0.019048419622138494,distance,3,"{'weights': 'distance', 'n_neighbors': 3}",0.19256505576208177,0.17100371747211895,0.19033457249070632,0.1754646840148699,0.16951672862453532,0.17977695167286245,0.009755372173595074,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2919954904171364,0.27946537059538273,0.2838137472283814,0.2681818181818182,0.269185360094451,0.27852835730343395,0.008994659343325844,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
13,3,0.3610989093780518,0.004996087848799542,0.8640113353729248,0.0052257998591197065,distance,11,"{'weights': 'distance', 'n_neighbors': 11}",0.08847583643122676,0.08029739776951673,0.09665427509293681,0.08401486988847584,0.08475836431226766,0.08684014869888476,0.005551867569544824,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.40893470790378006,0.43373493975903615,0.4452054794520548,0.40942028985507245,0.4523809523809524,0.4299352738701792,0.01796281416280779,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
14,4,0.3576198101043701,0.0031450545564668583,0.7301457405090332,0.0027600932190382523,distance,7,"{'weights': 'distance', 'n_neighbors': 7}",0.12490706319702602,0.11524163568773234,0.12490706319702602,0.11226765799256505,0.11672862453531599,0.11881040892193309,0.005181041305631032,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3792325056433409,0.37897310513447435,0.3708609271523179,0.3424036281179138,0.3685446009389671,0.3680029533974028,0.013492471408802595,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
15,5,0.37918910980224607,0.019159204206305454,2.5501100063323974,0.04195170388313191,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.0862453531598513,0.0691449814126394,0.08550185873605948,0.07137546468401487,0.0795539033457249,0.07836431226765798,0.007047134935954072,8,0.17843866171003717,0.18271375464684014,0.17899628252788105,0.18029739776951673,0.18029739776951673,0.18014869888475835,0.0014748575780577954,0.3569230769230769,0.34317343173431736,0.3495440729483283,0.3221476510067114,0.33126934984520123,0.34061151649152704,0.012494890032060106,5,0.7022677395757132,0.6937191249117854,0.7008733624454149,0.7059679767103348,0.6923625981441828,0.6990381603574863,0.005189908905768107,2
16,6,0.3623018264770508,0.0071689377249727826,2.3029922008514405,0.018484202302722113,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.23345724907063198,0.22825278810408922,0.24758364312267658,0.2245353159851301,0.2319702602230483,0.23315985130111522,0.007848709722169014,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.22364672364672364,0.23222390317700453,0.23853868194842406,0.22108345534407028,0.22462203023758098,0.22802295887076068,0.0064358810494181354,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
17,7,0.3597874641418457,0.005576506669168154,2.6073504447937013,0.007631134309587877,uniform,7,"{'weights': 'uniform', 'n_neighbors': 7}",0.0550185873605948,0.05278810408921933,0.0550185873605948,0.04981412639405204,0.04237918215613383,0.05100371747211896,0.004716357331495526,9,0.11022304832713754,0.10929368029739776,0.10985130111524163,0.10892193308550185,0.11022304832713754,0.10970260223048327,0.0005177839508246894,0.39361702127659576,0.4303030303030303,0.43023255813953487,0.3544973544973545,0.3392857142857143,0.38958713570044595,0.03764996721783664,3,0.6927570093457944,0.6869158878504673,0.696113074204947,0.6861826697892272,0.6960093896713615,0.6915956061723595,0.004299709371407978,2
18,8,0.36621317863464353,0.0156483547606927,2.7713902473449705,0.060314764851621884,uniform,11,"{'weights': 'uniform', 'n_neighbors': 11}",0.021561338289962824,0.02899628252788104,0.025278810408921933,0.019330855018587362,0.019330855018587362,0.022899628252788105,0.003744142248926147,10,0.04423791821561338,0.04423791821561338,0.04460966542750929,0.041635687732342004,0.04330855018587361,0.043605947955390335,0.0010748574196878043,0.5272727272727272,0.5735294117647058,0.4533333333333333,0.43333333333333335,0.41935483870967744,0.48136472888275544,0.05922815827130629,1,0.7190332326283988,0.7125748502994012,0.7228915662650602,0.6850152905198776,0.6996996996996997,0.7078429278824876,0.013867146209882317,2
19,9,0.3659400463104248,0.004449072014362799,0.6621055126190185,0.01706744913368896,distance,5,"{'weights': 'distance', 'n_neighbors': 5}",0.1546468401486989,0.1308550185873606,0.15390334572490708,0.137546468401487,0.1449814126394052,0.14438661710037176,0.009231314911624544,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3404255319148936,0.3308270676691729,0.3306709265175719,0.3151618398637138,0.33163265306122447,0.32974360380531537,0.008152714348423983,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
